d,h,hdo,den,num,dhdo,loghdo
11.8,13.2,15.4,1033,0.870465835,181.72,
22,12.2,18.1,556,0.560830767,398.2,
3.1,3.2,11.8,1600,0.875272891,36.58,
9.8,8.6,15.7,1022,0.440773705,153.86,
21.5,13.7,19.6,789,0.132637589,421.4,
26,13.9,15.1,489,0.824455656,392.6,
23.4,13.9,16.5,589,0.581171459,386.1,
16.8,12.7,18.7,844,0.541614373,314.16,
10.5,8.9,16.9,1733,0.912819156,177.45,
23,7.6,15.4,1033,0.053849062,354.2,
32.5,14.5,15.4,967,0.13376078,500.5,
5.4,5.1,11.8,1600,0.890732354,63.72,
18.5,12.4,16.6,1656,0.577950877,307.1,
13.9,13.2,14.1,2200,0.680230351,195.99,
22.8,7.9,15.4,967,0.59129077,351.12,
2.7,4.2,15,1956,0.864447964,40.5,
10.4,7.1,15.4,1033,0.123695196,160.16,
24.1,12.4,16.5,589,0.505510852,397.65,
25.2,18.2,18.7,844,0.856747339,471.24,
11.4,15.4,17.2,1778,0.850769402,196.08,
3,4.7,11.8,1600,0.855284404,35.4,
17.1,12.4,18.1,556,0.529221381,309.51,
14.8,12.1,15,1956,0.948116227,222,
13.2,11.6,12.9,633,0.311103721,170.28,
17,12.2,17.1,1411,0.930894705,290.7,
8,6.7,17.1,1411,0.624473146,136.8,
18.6,13.2,17.2,1778,0.319210704,319.92,
6,4.8,15,1956,0.641434829,90,
11.8,11.1,17.7,644,0.771964774,208.86,
18.9,16.6,18.1,556,0.522754209,342.09,
28.9,18.7,21,922,0.842973903,606.9,
24.7,10.6,14.9,1222,0.413103049,368.03,
20.9,14.4,16.6,1467,0.518463424,346.94,
9.4,10.8,16.6,1467,0.173940487,156.04,
11.1,11.7,17.1,1411,0.729123315,189.81,
10.9,10.2,17.2,1778,0.059925439,187.48,
11,6.6,15.4,967,0.646634143,169.4,
7.2,6.7,15.7,656,0.384870609,113.04,
10.5,8.5,17.1,1411,0.023002277,179.55,
22.3,13.6,17.2,1778,0.680476172,383.56,
7.9,7,20.3,800,0.942010005,160.37,
4.6,3.6,11.8,1600,0.321933678,54.28,
8.5,3.6,15,1956,0.651895971,127.5,
8.6,11.8,14.1,2200,0.693183847,121.26,
6.5,4.9,7.2,1733,0.552938078,46.8,
8.8,7.7,19.6,789,0.455713313,172.48,
8.8,4.5,15.4,1033,0.086957768,135.52,
21.1,11.2,16.9,1733,0.018653364,356.59,
33.4,14.3,15.1,489,0.783409061,504.34,
6.1,3.8,16.6,1467,0.866364756,101.26,
3.4,4.8,11.8,1600,0.910305514,40.12,
26.8,13.3,19.6,789,0.924742122,525.28,
20.2,13.6,14.9,1222,0.727715208,300.98,
12.7,5.7,20.5,722,0.246923148,260.35,
12.1,14.9,16.9,1733,0.369076338,204.49,
5,5.3,9.7,1644,0.437026147,48.5,
9.7,7.2,18.7,844,0.303866812,181.39,
12.8,10,16.9,1733,0.987727745,216.32,
31.7,19.7,21.2,967,0.800089732,672.04,
24.5,17.4,20.5,722,0.555748872,502.25,
25.4,10.8,15.4,967,0.896528969,391.16,
22,18.6,21,922,0.445091199,462,
5.2,5,11.8,1600,0.69488903,61.36,
13.5,10.4,12.9,633,0.747791018,174.15,
20.6,15.9,18.7,844,0.086813841,385.22,
19.1,12.8,17.7,644,0.727068894,338.07,
25.9,20.1,19.6,789,0.962045712,507.64,
4.7,4.3,11.8,1600,0.334940111,55.46,
13.7,11.2,16.4,1844,0.846860449,224.68,
5,4.6,9.7,1644,0.097909219,48.5,
7.5,10.2,14.1,2200,0.97345759,105.75,
6.8,5.7,11.8,1600,0.931866508,80.24,
14.4,12.7,17.1,1411,0.323823805,246.24,
20.9,11.1,16.4,1844,0.825880002,342.76,
22.5,15.2,15.7,1022,0.677096653,353.25,
5.3,5.2,11.8,1600,0.41823807,62.54,
10.1,5.3,13,1511,0.605874362,131.3,
7.4,7.6,21,922,0.298651426,155.4,
9.8,4.1,16.4,1844,0.590154404,160.72,
22,12.7,14.9,1222,0.090728066,327.8,
11.8,12,19.6,789,0.936562024,231.28,
5.1,4.8,9.7,1644,0.83785748,49.47,
7,9.6,17.1,1411,0.756829249,119.7,
18,13.1,17.1,1411,0.821454491,307.8,
13.6,11.3,16.9,1733,0.051523523,229.84,
7.1,7.1,21,922,0.368182453,149.1,
15.5,11.7,16.6,1656,0.009460009,257.3,
13.3,9.6,15.4,967,0.485783032,204.82,
11,6.1,15,1956,0.314312665,165,
6.2,6.1,16.4,1844,0.675763472,101.68,
