d,h,hdo,den,,,,,
5.3,4.1,6.9,1356,,,,,
5.3,4,5.4,1133,,,,,
5.3,3.9,6,1322,,,,,
5.3,3.9,6,1322,,,,,
5.3,3.5,6.1,722,,,,,
5.3,3.4,6,1322,,,,,
5.4,10.6,16.3,1556,,,,,
5.4,10.1,14,2333,,,,,
5.4,5.6,6.4,911,,,,,
5.4,5.6,10.4,500,,,,,
5.4,5.5,15,1956,,,,,
5.4,5.5,9.7,1644,,,,,
5.4,5.5,15.8,1522,,,,,
5.4,5,10.4,500,,,,,
5.4,4.9,14.5,978,,,,,
5.4,4.9,19.6,789,,,,,
5.4,4.8,6,600,,,,,
5.4,4.7,6.8,767,,,,,
5.4,4.4,6.9,1356,,,,,
5.4,4.4,7.2,1733,,,,,
5.4,4.3,6.9,1356,,,,,
5.4,4.3,7.2,1733,,,,,
5.4,4.3,9.7,1644,,,,,
5.4,4.2,5.4,1133,,,,,
5.4,4.2,5.4,1133,,,,,
5.4,4.1,6.9,1356,,,,,
5.4,4,15.1,1411,,,,,
5.4,3.8,7.2,1733,,,,,
5.4,3.7,6.9,1356,,,,,
5.4,3.7,18.8,1233,,,,,
5.4,3.5,14,2333,,,,,
5.4,3.5,15,1956,,,,,
5.4,3.4,6.9,1356,,,,,
5.4,3.2,13.9,767,,,,,
5.4,2.9,6.1,722,,,,,
5.5,8.6,14,2333,,,,,
5.5,6.7,17.7,2278,,,,,
5.5,6,10.1,1522,,,,,
5.5,5.5,10.4,500,,,,,
5.5,5.4,7.2,1733,,,,,
5.5,5.2,7.2,1733,,,,,
5.5,5.2,10.1,1522,,,,,
5.5,5.1,16.6,1656,,,,,
5.5,5.1,17.3,1122,,,,,
5.5,5,7.1,1044,,,,,
5.5,5,9.7,1644,,,,,
5.5,4.9,6.8,767,,,,,
5.5,4.8,14.8,1022,,,,,
5.5,4.7,6,1322,,,,,
5.5,4.7,6.4,911,,,,,
5.5,4.5,6,1322,,,,,
5.5,4.4,6,1322,,,,,
5.5,4.1,5.7,533,,,,,
