"CW","CLR","SD","D","PLOT"
2.24,0.49,1955.555556,9.3,21
1.405,0.45,1955.555556,8.6,21
2.085,0.59,1955.555556,3.2,21
1.56,0.53,1955.555556,8.1,21
1.24,0.27,1955.555556,4.1,21
1.32,0.36,1955.555556,4.1,21
1.52,0.51,1955.555556,5.2,21
2.94,0.53,1955.555556,11.2,21
3.265,0.8,1955.555556,16.9,21
2.075,0.78,1955.555556,10.7,21
2.205,0.33,1955.555556,6,21
1.4,0.48,1955.555556,5.3,21
1.755,0.67,1955.555556,10.5,21
1.175,0.66,1955.555556,5.2,21
1.715,0.83,1955.555556,9.3,21
1.05,0.58,1955.555556,2.7,21
2.905,0.61,1955.555556,13.1,21
3.59,0.72,1955.555556,15,21
2.965,0.73,1955.555556,9,21
2.89,0.78,1955.555556,8.9,21
3.16,0.76,1955.555556,9.7,21
2.14,0.74,1955.555556,5.3,21
3.78,0.73,1955.555556,10.3,21
3.21,0.84,1955.555556,14,21
4.265,0.59,1955.555556,18,21
2.445,0.84,1955.555556,16.8,21
3.655,0.8,1955.555556,9.8,21
3.945,0.86,1955.555556,12.1,21
4.025,0.8,1955.555556,26,21
3.995,0.69,1955.555556,21.8,21
2.24,0.85,1955.555556,9.7,21
3.51,0.76,1955.555556,27,21
1.61,0.49,1955.555556,4.2,21
1.845,0.81,1955.555556,15.4,21
3.2,0.76,1955.555556,22,21
2.485,0.3,1955.555556,5.9,21
3.655,0.28,1955.555556,8.5,21
1.76,0.65,1955.555556,3.6,21
1.765,0.28,1955.555556,5.6,21
2.2,0.73,1955.555556,4,21
2.595,0.57,1955.555556,3,21
1.96,0.61,1955.555556,18.4,21
2.74,0.11,1955.555556,3,21
2.41,0.11,1955.555556,2.8,21
2.825,0.64,1955.555556,7.3,21
1.87,0.72,1955.555556,4.2,21
2.005,0.1,1955.555556,2.9,21
1.51,0.38,1955.555556,7,21
1.66,0.88,1955.555556,2.2,21
1.92,0.15,1955.555556,3,21
1.885,0.69,1955.555556,3.5,21
3.055,0.64,1955.555556,8.9,21
2.47,0.65,1955.555556,6.5,21
2.09,0.32,1955.555556,4.5,21
2.13,0.38,1955.555556,4.7,21
1.36,0.54,1955.555556,2.2,21
3.28,0.64,1955.555556,7.4,21
2.9,0.78,1955.555556,13,21
3.915,0.72,1955.555556,12.9,21
1.76,0.47,1955.555556,9.5,21
3.585,0.83,1955.555556,20.2,21
3.08,0.52,1955.555556,5.5,21
3.815,0.8,1477.777778,19.7,22
5.56,0.73,1477.777778,26.8,22
1.96,0.78,1477.777778,2.6,22
1.81,0.76,1477.777778,2.3,22
1.755,0.7,1477.777778,3.4,22
1.435,0.72,1477.777778,3.5,22
1.47,0.86,1477.777778,2.9,22
1.485,0.63,1477.777778,2.7,22
2.085,0.63,1477.777778,4.8,22
6.635,0.86,1477.777778,30.4,22
5.85,0.82,1477.777778,28.8,22
2.29,0.83,1477.777778,4.1,22
1.53,0.49,1477.777778,5.7,22
1.68,0.81,1477.777778,2.2,22
1.77,0.86,1477.777778,2.4,22
2.645,0.86,1477.777778,4.1,22
2.87,0.81,1477.777778,8.4,22
1.95,0.39,1477.777778,4.1,22
2.57,0.71,1477.777778,6.4,22
1.55,0.62,1477.777778,3.8,22
1.355,0.52,1477.777778,2.2,22
1.765,0.58,1477.777778,3.7,22
1.335,0.48,1477.777778,4.4,22
1.535,0.6,1477.777778,3.2,22
2.49,0.88,1477.777778,2,22
2.135,0.57,1477.777778,6.3,22
2.805,0.66,1477.777778,3.5,22
2.585,0.74,1477.777778,4.6,22
2.33,0.63,1477.777778,3.1,22
2.585,0.76,1477.777778,3.9,22
2.22,0.5,1477.777778,3.1,22
2.545,0.6,1477.777778,4.9,22
2.74,0.58,1477.777778,3.6,22
1.785,0.83,1477.777778,2.3,22
2.095,0.73,1477.777778,4,22
1.905,0.71,1477.777778,2.2,22
2.1,0.82,1477.777778,4.1,22
2.785,0.71,1477.777778,3.2,22
2.62,0.72,1477.777778,4,22
2.69,0.67,1477.777778,3.6,22
2.64,0.83,1477.777778,2.7,22
3.58,0.76,1477.777778,6,22
1.93,0.32,1477.777778,2.2,22
1.565,0.52,1477.777778,2.5,22
1.53,0.5,1477.777778,2.2,22
1.9,0.85,1477.777778,3.3,22
1.865,0.8,1477.777778,3,22
3.625,0.83,1477.777778,8.9,22
2.09,0.81,1477.777778,6.8,22
3.125,0.8,1477.777778,5.4,22
3.125,0.8,1477.777778,7.5,22
3.125,0.81,1477.777778,5.9,22
1.865,0.66,1477.777778,7,22
1.555,0.67,1477.777778,4.5,22
5.095,0.65,1477.777778,26.5,22
5.165,0.71,1477.777778,27.4,22
2.14,0.73,1477.777778,5.9,22
3.045,0.78,1477.777778,6.1,22
2.65,0.55,1477.777778,3.2,22
2.09,0.47,1477.777778,2.5,22
1.9,0.69,1477.777778,3.8,22
2.195,0.63,1477.777778,3.5,22
1.835,0.44,1477.777778,5.5,22
1.925,0.26,1477.777778,4,22
2.225,0.7,1477.777778,5.7,22
2.22,0.24,1477.777778,3.5,22
1.615,0.29,1477.777778,3.1,22
2.92,0.72,1477.777778,5.3,22
2.66,0.28,1477.777778,3.5,22
2.385,0.69,1477.777778,8,22
2.645,0.73,1477.777778,10.2,22
2.865,0.2,1477.777778,4.5,22
2.38,0.3,1477.777778,7.8,22
6.835,0.65,1477.777778,19.2,22
4.995,0.66,1477.777778,28.2,22
3.77,0.85,1477.777778,9.8,22
5.565,0.72,1477.777778,22.2,22
5.975,0.72,1477.777778,22.3,22
1.33,0.16,1477.777778,3.4,22
6.46,0.76,1477.777778,23.4,22
6.545,0.82,1477.777778,31.4,22
