d,h,hdo,den,dhdo,num
7.7,10.3,14.1,2200,108.57,
17.2,15.8,17.7,2278,304.44,
18.2,12.8,14.8,1967,269.36,
4.5,4.3,6.9,1356,31.05,
25.9,11.3,19.6,789,507.64,
24.8,14.3,16.1,689,399.28,
17.3,11.9,14.1,556,243.93,
16.5,11.8,15.1,1067,249.15,
7.6,8.5,15.1,1656,114.76,
19.1,14.2,16.6,1656,317.06,
11.8,11.6,13.1,811,154.58,
6.4,6.7,14,2333,89.6,
16.2,12.1,16.1,1656,260.82,
12.2,10.5,14.8,1967,180.56,
10.9,10.4,16.6,1656,180.94,
15.8,12.8,15.1,1656,238.58,
4,3.3,7.1,1044,28.4,
10.3,8,16.1,1656,165.83,
6.5,5,5.7,533,37.05,
8.4,7.1,7.1,1044,59.64,
17.8,12.3,13.2,2122,234.96,
9.8,8.6,14,2333,137.2,
13.6,11.6,15.1,1067,205.36,
26.5,15.6,17.7,889,469.05,
15.3,11.4,13.1,811,200.43,
12.3,6.9,10.1,1522,124.23,
20,17.2,20.3,1011,406,
8.7,6.5,10.1,1522,87.87,
3.5,3.9,6,1322,21,
15.8,10,16.2,1156,255.96,
15.6,9.1,15.7,422,244.92,
21.1,14.8,16.2,1678,341.82,
11.1,13.1,17.7,2278,196.47,
20.4,13.2,14.8,1967,301.92,
13.6,11.8,17.3,1122,235.28,
21.6,15.3,16.3,1556,352.08,
3.4,2.5,7.2,1733,24.48,
14.5,11.3,16.2,1678,234.9,
8.1,7.1,10.1,1522,81.81,
5.8,5.7,13.2,2122,76.56,
9.1,10.1,14.6,789,132.86,
18.9,11.7,16.1,689,304.29,
18.1,14.9,16.3,1556,295.03,
15.2,10.2,16.2,1678,246.24,
10.7,12.2,17.7,2278,189.39,
7.3,3.9,5.4,1133,39.42,
12.4,9,13.4,778,166.16,
10.8,12.8,15.1,1411,163.08,
9.6,10.8,16.2,1678,155.52,
13.1,13.6,16.2,1678,212.22,
19.4,13.6,14.8,1967,287.12,
24.5,17.4,20.5,722,502.25,
6.5,5.3,10.1,1522,65.65,
9.1,9.2,16.3,1556,148.33,
24.3,12.4,13.9,767,337.77,
8.2,8.2,15.8,1522,129.56,
13.1,13.2,15.1,1411,197.81,
5.4,4.9,14.5,978,78.3,
20.3,14.4,16.6,1467,336.98,
20,15.4,20.5,722,410,
3.8,4.6,7.2,1733,27.36,
9.2,9.7,13.2,2122,121.44,
8.4,11.7,13.2,2122,110.88,
9.8,9.4,13.2,2122,129.36,
17,9.2,14,2333,238,
16.3,9.4,13.4,778,218.42,
6.5,8.7,13.2,2122,85.8,
15.5,16,21.5,1667,333.25,
14.8,13.6,15.1,1656,223.48,
18.6,16.8,17.7,2278,329.22,
4.9,6.2,6.4,911,31.36,
4.5,3.7,7.2,1733,32.4,
18.2,14.2,21.5,1667,391.3,
15.2,12.8,16.2,1156,246.24,
11.3,11.5,14.5,978,163.85,
4.5,2.8,5.4,1133,24.3,
18.9,11.6,13.9,767,262.71,
10.6,9.8,14.8,1967,156.88,
10.2,5.2,6.9,1356,70.38,
13.8,7.6,16.6,1656,229.08,
17.9,10.8,14.4,1689,257.76,
15.4,10,15.1,1067,232.54,
21.8,13.9,15.1,589,329.18,
5.8,5.5,7.1,1044,41.18,
6.4,5.4,7.2,1733,46.08,
10.4,9.7,14.8,1022,153.92,
15,10.9,19.6,789,294,
26.6,18.6,21.2,967,563.92,
12.4,7.6,10.4,500,128.96,
15.2,11.3,14.8,1967,224.96,
5.8,5.9,13.2,2122,76.56,
29,16.1,22.4,867,649.6,
16.8,11.8,13.9,767,233.52,
13.9,11.8,17.7,2278,246.03,
14.1,10.7,14,2333,197.4,
10.1,12.2,16.2,1678,163.62,
18.8,13.9,18.8,1233,353.44,
8.9,5.7,7.1,1044,63.19,
